Category,Brand,Type_Price,Name,Type_Weight,Type_Price_per,Image,Price,Price_per,Sub-Category
Frescos,Continente,/kg,Porco Costeletas Tradicional,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4590659(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,4,49","€,4,27",Talho
Frescos,Continente,/un,Porco Bifanas 100% Nacional,gr,/kg,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=5611883(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,2,75","€,6,11",Talho
Frescos,Continente,/un,Perninha de Frango Congelada,gr,/kg,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4734159(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,3,99","€,3,99",Talho
Frescos,Continente,/kg,Bife de Alcatra de Vitelão,gr,none,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=5560221(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,10,58",€,Talho
Frescos,Continente,/kg,Vitelão Costeletas do Vão,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=5560410(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,9,48","€,1,90",Talho
Frescos,Continente,/kg,Bifinhos da Perna de Porco,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4927100(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,6,59","€,2,77",Talho
Frescos,Continente,/kg,Escalopes/ Bife Francesinha,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4057250(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,10,28","€,2,47",Talho
Frescos,Continente,/kg,Novilho Bife do Lombo,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2227279(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,19,95","€,6,38",Talho
Frescos,Continente,/kg,Porco Rabo,gr,/un,/Style%20Library/Themes/framework/images/grey.gif,"€,3,89","€,2,49",Talho
Frescos,Continente,/un,Porco Entrecosto 100% Nacional,gr,/kg,/Style%20Library/Themes/framework/images/grey.gif,"€,2,75","€,6,11",Talho
Frescos,Continente,/kg,Bovino Bife Picanha Europa,gr,/un,/Style%20Library/Themes/framework/images/grey.gif,"€,10,98","€,2,74",Talho
Frescos,Continente,/kg,Novilho Picanha (Europa),gr,/un,/Style%20Library/Themes/framework/images/grey.gif,"€,10,48","€,14,67",Talho
Frescos,Continente,/kg,Novilho Medalhões para Estufar,gr,/un,/Style%20Library/Themes/framework/images/grey.gif,"€,7,98","€,4,23",Talho
Frescos,Continente,/kg,Porco Cachaço Sem Osso,gr,/un,/Style%20Library/Themes/framework/images/grey.gif,"€,4,99","€,4,99",Talho
Frescos,Continente,/un,Bife da Vazia Novilho 100% Nacional,gr,/kg,/Style%20Library/Themes/framework/images/grey.gif,"€,5,50","€,16,18",Talho
Frescos,Lusiaves,/kg,Coxas de Frango,gr,/un,/Style%20Library/Themes/framework/images/grey.gif,"€,4,95","€,4,87",Talho
Frescos,Continente,/kg,Porco Cachaço Italiana,gr,/un,/Style%20Library/Themes/framework/images/grey.gif,"€,5,99","€,4,85",Talho
Frescos,Continente,/un,Porco Costeletas Cachaço Congelado,gr,/kg,/Style%20Library/Themes/framework/images/grey.gif,"€,3,39","€,4,84",Talho
Frescos,Continente,/kg,Porco Guisar,gr,/un,/Style%20Library/Themes/framework/images/grey.gif,"€,5,89","€,6,48",Talho
Frescos,Continente,/un,Porco Bife do Lombo 100% Nacional,gr,/kg,/Style%20Library/Themes/framework/images/grey.gif,"€,2,75","€,6,11",Talho
Frescos,Continente,/un,Porco Costeletas Lombo Congeladas,gr,/kg,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4387686(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,3,69","€,5,27",Talho
Frescos,Continente,/kg,Lombo Porco Assar sem Osso,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2525325(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,4,99","€,9,23",Talho
Frescos,Continente,/kg,Leitão Inteiro Vácuo,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4156270(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,8,98","€,53,88",Talho
Frescos,Continente,/kg,Porco Rojões da Barriga,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4372178(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,2,79","€,2.790,00",Talho
Frescos,Continente,/kg,Porco Lombo sem Osso,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4212275(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,4,99","€,5,99",Talho
Frescos,Continente,/kg,Maminha de Bovino,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4975788(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,13,99","€,18,19",Talho
Frescos,Continente,/un,Jardineira de Novilho 100% Nacional,gr,/kg,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=5547966(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,4,00","€,7,69",Talho
Frescos,Lusiaves,/kg,Frango Miúdos,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2691546(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,3,79","€,1,82",Talho
Frescos,Continente,/kg,Porco Bifinhos do Cachaço,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4927167(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,7,59","€,3,42",Talho
Frescos,Continente,/un,Perna de Frango Inteira Congelada,gr,/kg,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4734157(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,2,99","€,2,99",Talho
Frescos,Lusiaves,/kg,Coxas de Frango,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2691550(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,4,99","€,2,40",Talho
Frescos,Continente,/un,Medalhões de Novilho 100% Nacional,gr,/kg,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=5547836(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,4,00","€,10,81",Talho
Frescos,Continente,/kg,Porco Entrecosto Fritar,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4503717(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,3,35","€,2,68",Talho
Frescos,Continente,/un,Coxas de Frango Congeladas,gr,/kg,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4734165(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,3,99","€,3,99",Talho
Frescos,Lusiaves,/kg,Jardineira de Peru,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2691568(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,7,99","€,4,95",Talho
Frescos,Continente,/un,Bife do Redondo Novilho 100% Nacional,gr,/kg,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=5548014(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,3,00","€,9,38",Talho
Frescos,Continente,/kg,Novilho Assar,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=3791817(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,7,98","€,6,94",Talho
Frescos,Continente,/un,Bife da Pá/Acém Novilho 100% Nacional,gr,/kg,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=5548202(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,3,00","€,7,89",Talho
Frescos,Continente,/kg,Novilho Bife Lombo,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4231753(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,19,95","€,7,44",Talho
Frescos,Continente,/un,Bife do Lombo Novilho 100% Nacional,gr,/kg,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=5548112(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,6,00","€,23,08",Talho
Frescos,Continente,/kg,Porco Chispe,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4212436(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,1,99","€,1,59",Talho
Frescos,Lusiaves,/kg,Perninha de Frango Embalagem Familiar,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2932390(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,4,88","€,4,39",Talho
Frescos,Lusiaves,/kg,Asas de Frango,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2691548(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,2,67","€,1,37",Talho
Frescos,Continente,/kg,Porco Pá York,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4428413(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,2,89","€,2,89",Talho
Frescos,Continente,/kg,Porco Costeletas Mistas,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4396693(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,4,09","€,1,78",Talho
Frescos,Continente,/kg,Borrego Inteiro,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2428113(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,7,99","€,111,86",Talho
Frescos,Continente,/kg,Porco Costeletas Embalagem Familiar,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4230946(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,4,09","€,4,91",Talho
Frescos,Continente,/kg,Novilho Bife Vazio Baixo,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4231797(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,11,29","€,4,40",Talho
Frescos,Continente,/kg,Entrecosto de Porco para Grelhar,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4418840(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,3,59","€,3,16",Talho
Frescos,Continente,/kg,Porco Rojões Barriga Familiar,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2231359(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,3,99","€,5,39",Talho
Frescos,Continente,/kg,Porco Orelheira,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2231804(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,4,29","€,2,92",Talho
Frescos,Continente,/kg,Porco Lombinhos Vácuo,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2588815(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,7,99","€,4,23",Talho
Frescos,Continente,/kg,Entremeada com Osso Familiar,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2245742(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,3,99","€,3,99",Talho
Frescos,Kilom,/kg,Bifes de Frango Extrafino,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=2163098(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,7,49","€,3,30",Talho
Frescos,Continente,/kg,Porco Bifanas,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4212165(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,2,95","€,0,44",Talho
Frescos,Continente,/kg,Pá de Porco com Osso,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4212204(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,2,29","€,1,83",Talho
Frescos,Continente,/kg,Porco Lombinhos,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4212276(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,7,99","€,4,23",Talho
Frescos,Continente,/kg,Porco Entremeada,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4212375(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,3,99","€,1,60",Talho
Frescos,Continente,/kg,Entrecosto de Porco,gr,/un,https://media.continente.pt/Sonae.eGlobal.Presentation.Web.Media/media.axd?resourceSearchType=2&resource=ProductId=4212395(eCsf$RetekProductCatalog$MegastoreContinenteOnline$Continente)&siteId=1&channelId=1&width=150&height=150&defaultOptions=1,"€,3,59","€,2,17",Talho
